CPU	 1	 0.066675
CPU	 3	 0.066675
CPU	 5	 0.05
CPU	 7	 0.08335
CPU	 9	 0.083325
CPU	 11	 0.1
CPU	 13	 0.066675
CPU	 15	 0.06665
CPU	 17	 0.083325
CPU	 19	 0.083325
CPU	 21	 0.066675
CPU	 23	 0.066675
CPU	 25	 0.06665
CPU	 27	 0.083325
CPU	 29	 0.1
CPU	 31	 0.066675
CPU	 33	 0.1
CPU	 35	 0.1
CPU	 37	 0.08335
CPU	 39	 0.083325
CPU	 41	 0.06665
CPU	 43	 0.083325
CPU	 45	 0.066675
CPU	 47	 0.116675
CPU	 49	 0.066675
CPU	 51	 0.083325
CPU	 53	 0.083325
CPU	 55	 0.116675
CPU	 57	 0.1
CPU	 59	 0.08335
CPU	 61	 0.1
CPU	 63	 0.083325
CPU	 65	 0.1
CPU	 67	 0.1
CPU	 69	 0.116675
CPU	 71	 0.116675
CPU	 73	 0.11665
CPU	 75	 0.116675
CPU	 77	 0.083325
CPU	 79	 0.083325
CPU	 81	 0.116675
CPU	 83	 0.066675
CPU	 85	 0.083325
CPU	 87	 0.1
CPU	 89	 0.08335
CPU	 91	 0.1
CPU	 93	 0.083325
CPU	 95	 0.083325
CPU	 97	 0.066675
CPU	 99	 0.06665
IO	 4	 1338.52
IO	 2	 1339.57
IO	 36	 1338.13
IO	 32	 1338.47
IO	 14	 1339.58
IO	 6	 1339.97
IO	 54	 1337.58
IO	 26	 1339.3
IO	 34	 1338.87
IO	 72	 1336.62
IO	 60	 1337.7
IO	 28	 1339.75
IO	 96	 1335.38
IO	 42	 1339.13
IO	 44	 1339.07
IO	 76	 1337.03
IO	 16	 1340.92
IO	 40	 1339.72
IO	 24	 1340.73
IO	 94	 1336.15
IO	 50	 1339.28
IO	 68	 1338.08
IO	 0	 1341.85
IO	 74	 1337.65
IO	 84	 1336.97
IO	 12	 1341.42
IO	 64	 1338.58
IO	 58	 1339.03
IO	 56	 1339.17
IO	 80	 1337.42
IO	 18	 1341.37
IO	 30	 1340.85
IO	 98	 1336.28
IO	 10	 1341.8
IO	 62	 1338.88
IO	 78	 1337.67
IO	 86	 1337.18
IO	 20	 1341.4
IO	 90	 1336.93
IO	 48	 1339.9
IO	 8	 1342.03
IO	 70	 1338.43
IO	 82	 1337.5
IO	 38	 1340.55
IO	 22	 1341.42
IO	 88	 1337.15
IO	 46	 1340.15
IO	 92	 1336.88
IO	 52	 1339.8
IO	 66	 1338.85
