CPU	 1	 0.05
CPU	 3	 0.066675
CPU	 5	 0.066675
CPU	 7	 0.066675
CPU	 9	 0.05
CPU	 11	 0.083325
CPU	 13	 0.066675
CPU	 15	 0.066675
CPU	 17	 0.06665
CPU	 19	 0.05
CPU	 21	 0.06665
CPU	 23	 0.066675
CPU	 25	 0.05
CPU	 27	 0.05
CPU	 29	 0.06665
CPU	 31	 0.066675
CPU	 33	 0.08335
CPU	 35	 0.066675
CPU	 37	 0.06665
CPU	 39	 0.1
CPU	 41	 0.083325
CPU	 43	 0.06665
CPU	 45	 0.1
CPU	 47	 0.083325
CPU	 49	 0.06665
IO	 0	 677.233
IO	 2	 677.217
IO	 4	 677.183
IO	 6	 677.117
IO	 8	 677.067
IO	 10	 677.05
IO	 12	 676.983
IO	 14	 676.933
IO	 16	 676.883
IO	 18	 676.817
IO	 20	 676.767
IO	 22	 676.717
IO	 24	 676.667
IO	 26	 676.6
IO	 28	 676.533
IO	 30	 676.467
IO	 32	 676.4
IO	 34	 676.3
IO	 36	 676.233
IO	 38	 676.133
IO	 40	 676.017
IO	 42	 675.9
IO	 44	 675.8
IO	 46	 675.683
IO	 48	 675.55
